,name,neighborhood,property_type,room_type,amenities,price
1384,Reed Ranch - Ready for your Portland Adventure,Reed,Entire guest suite,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Air conditioning"", ""Bed linens"", ""Dishwasher"", ""Fire extinguisher""]",149.0
1385,"Studio Guest Suite, Close-In SE Portland",Kerns,Private room in guest suite,Private room,"[""Coffee maker"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Extra pillows and blankets"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Air conditioning"", ""Bed linens"", ""Lock on bedroom door"", ""Fire extinguisher""]",115.0
1386,"Private Family Suite, 4 Adults Central NE Portland",Beaumont-Wilshire,Entire guest suite,Entire home/apt,"[""Portable fans"", ""Security cameras on property"", ""HDTV"", ""Laundromat nearby"", ""Coffee maker"", ""Bikes"", ""Cooking basics"", ""Dedicated workspace"", ""Board games"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Body soap"", ""Drying rack for clothing"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Host greets you"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Cleaning products"", ""Free dryer"", ""Outdoor furniture"", ""Conditioner"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Free parking on premises"", ""Toaster Oven  oven"", ""Toaster"", ""Room-darkening shades"", ""Freezer"", ""Bed linens"", ""Dining table"", ""Free washer"", ""Clothing storage: wardrobe, dresser, and closet"", ""Kayak"", ""Outdoor dining area"", ""Rice maker"", ""Fire extinguisher"", ""Shared patio or balcony""]",123.0
1387,Convention Center/ Moda/ Eliot/ West Irvington,Eliot,Entire rental unit,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""Bathtub"", ""Oven"", ""Air conditioning"", ""Bed linens"", ""Dishwasher"", ""Fire extinguisher"", ""Patio or balcony""]",185.0
1388,Loft Living Steps From Laurelhurt's Hip Restaurant Scene,Buckman,Entire rental unit,Entire home/apt,"[""Iron"", ""Self check-in"", ""TV"", ""Smoke alarm"", ""Washer"", ""Pets allowed"", ""Wifi"", ""Full kitchen"", ""Air conditioning"", ""Dryer"", ""Bathroom essentials"", ""Coffee maker"", ""Bedroom comforts"", ""Dishwasher"", ""Heating"", ""Fire extinguisher"", ""Hair dryer"", ""Free street parking"", ""Carbon monoxide alarm""]",110.0
1389,Gorgeous Irvington Apartment,Irvington,Entire rental unit,Entire home/apt,"[""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Keypad"", ""Dishes and silverware"", ""Stove"", ""Central air conditioning"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Heating"", ""Cleaning products"", ""Breakfast"", ""Essentials"", ""Smoke alarm"", ""Fire extinguisher""]",79.0
1390,Cheery Modern Basement Apartment,Mill Park,Entire residential home,Entire home/apt,"[""Outlet covers"", ""Laundromat nearby"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Critical Bath, in-house brand body soap"", ""Cooking basics"", ""Dedicated workspace"", ""Board games"", ""Hair dryer"", ""Clothing storage: closet"", ""Iron"", ""Free street parking"", ""Private hot tub"", ""TV"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Free dryer \u2013 In unit"", ""Portable heater"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Crib"", ""Shampoo"", ""Refrigerator"", ""Hangers"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""EV charger"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Conditioner"", ""High chair"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Bathtub"", ""Free parking on premises"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Freezer"", ""Toaster"", ""Bed linens"", ""Dining table"", ""Radiant heating"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Fire extinguisher"", ""Shared patio or balcony""]",36.0
1391,Private 2 BR Basement Suite,Cully,Entire residential home,Entire home/apt,"[""Security cameras on property"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Outdoor furniture"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Air conditioning"", ""Bed linens"", ""Shared patio or balcony""]",120.0
1392,"Bohemian Oasis ~ Food, Coffee & Craft Beer Lovers",Buckman,Entire rental unit,Entire home/apt,"[""Security cameras on property"", ""Coffee maker"", ""Elevator"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Lockbox"", ""Luggage dropoff allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Bathtub"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Air conditioning"", ""Bed linens"", ""Dishwasher"", ""Fire extinguisher""]",162.0
1393,New Private Luxe Studio in Great Location!,South Tabor,Entire guest suite,Entire home/apt,"[""Portable fans"", ""Coffee maker"", ""Portable air conditioning"", ""Cooking basics"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""EO body soap"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Lockbox"", ""Luggage dropoff allowed"", ""Heating"", ""Cleaning products"", ""Record player"", ""Alba Botanica  conditioner"", ""Private entrance"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Oven"", ""Toaster"", ""Room-darkening shades"", ""Freezer"", ""Bed linens"", ""Dining table"", ""Dishwasher"", ""Nespresso machine"", ""Fire extinguisher""]",70.0
1394,"Cozy, Artsy St Johns Bungalow",St. Johns,Entire bungalow,Entire home/apt,"[""Portable fans"", ""Single level home"", ""Pour-over coffee"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Clothing storage: dresser and closet"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Barbecue utensils"", ""Cleaning before checkout"", ""Extra pillows and blankets"", ""Body soap"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Private fenced garden or backyard"", ""Hangers"", ""Safe"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Lockbox"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""Outdoor furniture"", ""Gym"", ""Babysitter recommendations"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Bathtub"", ""Oven"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Freezer"", ""Window AC unit"", ""Central heating"", ""Dishwasher"", ""Baking sheet"", ""Outdoor dining area"", ""BBQ grill"", ""Fire extinguisher""]",215.0
1395,The XX - Dog Friendly Boutique Hotel with City Views,Buckman,Room in boutique hotel,Hotel room,"[""Elevator"", ""Dedicated workspace"", ""Hair dryer"", ""Free street parking"", ""Iron"", ""Cable TV"", ""Crib"", ""Shampoo"", ""Refrigerator"", ""Hangers"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""TV with standard cable"", ""Air conditioning"", ""Room-darkening shades"", ""Fire extinguisher"", ""Patio or balcony""]",165.0
1396,Luxurious Suite w/ King & Queen Beds & Master Bath,Foster-Powell,Private room in residential home,Private room,"[""Dedicated workspace"", ""Hair dryer"", ""Free street parking"", ""Iron"", ""TV"", ""Microwave"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Lockbox"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""Air conditioning"", ""Patio or balcony""]",49.0
1397,"The Hoxton Portland, Roomy 2 Queen Beds",Old Town/Chinatown,Room in boutique hotel,Private room,"[""Shampoo"", ""TV"", ""Essentials"", ""Smoke alarm"", ""Hangers"", ""Wifi"", ""Air conditioning"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Elevator"", ""Heating"", ""Hair dryer"", ""Fire extinguisher"", ""First aid kit"", ""Carbon monoxide alarm"", ""Private entrance""]",179.0
1398,Living Zen Condo,Humboldt,Entire condominium (condo),Entire home/apt,"[""Cooking basics"", ""Dedicated workspace"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Dishwasher"", ""Patio or balcony""]",153.0
1399,West Hills Upstairs Room,Hillsdale,Private room in residential home,Private room,"[""Coffee maker"", ""Cooking basics"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Wifi"", ""Hot water"", ""Backyard"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Oven"", ""Air conditioning"", ""Bed linens"", ""Dishwasher"", ""Fire extinguisher"", ""Patio or balcony""]",57.0
1400,"Modern, Bright & Large 2 Bed Studio-Pets welcome!",Woodstock,Entire rental unit,Entire home/apt,"[""Portable fans"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Safe"", ""Wifi"", ""Hot water"", ""Heating"", ""Cleaning products"", ""Conditioner"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Toaster"", ""Dining table"", ""Fire extinguisher"", ""Patio or balcony""]",98.0
1401,Cozy Cabin Vibes in Prized Location,Irvington,Entire condominium (condo),Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Oven""]",229.0
1402,Private Over Size in New House,Montavilla,Private room in guest suite,Private room,"[""Security cameras on property"", ""Laundromat nearby"", ""Coffee maker"", ""Clothing storage: wardrobe"", ""Cooking basics"", ""Black Decker pizza oven stainless steel oven"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Body soap"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Safe"", ""Wifi"", ""Hot water"", ""Backyard"", ""Luggage dropoff allowed"", ""Heating"", ""Ceiling fan"", ""Essentials"", ""Smoke alarm"", ""TV with standard cable"", ""Air conditioning"", ""Room-darkening shades"", ""Freezer"", ""Toaster"", ""Bed linens"", ""Lock on bedroom door"", ""Dining table"", ""ONE BURNER stove"", ""Fire extinguisher""]",45.0
1403,Spacious Restored Craftsmen - Craft Beer & Coffee,Buckman,Entire rental unit,Entire home/apt,"[""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Dishes and silverware"", ""Clothing storage"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wifi"", ""Hot water"", ""Dryer"", ""Lockbox"", ""Heating"", ""Cleaning products"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Bathtub"", ""Washer"", ""Bed linens"", ""Fire extinguisher""]",77.0
1404,One Bed in a Shared 8 Bed All Gender Dormitory,Buckman,Shared room in hotel,Shared room,"[""Elevator"", ""Cooking basics"", ""Hair dryer"", ""Free street parking"", ""Iron"", ""Fire pit"", ""Kitchen"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Outdoor furniture"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""Air conditioning"", ""Outdoor dining area"", ""Patio or balcony""]",40.0
1405,Santa Monica Vibes in PDX ~ Food Carts & Roasters,Buckman,Entire rental unit,Entire home/apt,"[""Single level home"", ""Laundromat nearby"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Clothing storage: closet"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Dryer"", ""Lockbox"", ""Luggage dropoff allowed"", ""Heating"", ""Cleaning products"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Bathtub"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Air conditioning"", ""Room-darkening shades"", ""Freezer"", ""Bed linens"", ""Dining table"", ""Dishwasher""]",106.0
1406,Grandpa's Bunkhouse-Backyard Studio,Roseway,Entire residential home,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Wifi"", ""Hot water"", ""Backyard"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""Oven"", ""Air conditioning"", ""Fire extinguisher"", ""Patio or balcony""]",129.0
1407,Perfectly Cozy Alberta Arts Room,King,Private room in residential home,Private room,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Air conditioning"", ""Bed linens"", ""Lock on bedroom door"", ""Dishwasher"", ""BBQ grill"", ""Fire extinguisher"", ""Patio or balcony""]",55.0
1408,Food Lovers Dream in Designer House,King,Private room in residential home,Private room,"[""Refrigerator"", ""Shampoo"", ""Essentials"", ""Kitchen"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Air conditioning"", ""Backyard"", ""Long term stays allowed"", ""Lockbox"", ""Dishes and silverware"", ""Heating"", ""Hair dryer"", ""Iron"", ""Free street parking""]",92.0
1409,Old Portland Style 2 Story House,Sellwood-Moreland Improvement League,Private room in residential home,Private room,"[""Indoor fireplace"", ""TV"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""Kitchen"", ""Free parking on premises"", ""Wifi"", ""Dryer"", ""Heating"", ""Fire extinguisher"", ""First aid kit"", ""Carbon monoxide alarm""]",65.0
1410,Yellow room in Woodstock with central air con!,Woodstock,Private room in residential home,Private room,"[""Outlet covers"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Babysitter recommendations"", ""Private entrance"", ""Essentials"", ""Smoke alarm"", ""Bathtub"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Dishwasher"", ""Children\u2019s dinnerware"", ""Fire extinguisher""]",55.0
1411,"Eco Cottage, Great Location",Richmond,Entire guesthouse,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Shared fenced garden or backyard"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Air conditioning"", ""Fire extinguisher""]",101.0
1412,Amazing Craftsman Style Home,Parkrose,Entire residential home,Entire home/apt,"[""Indoor fireplace"", ""Shampoo"", ""Essentials"", ""Kitchen"", ""Cable TV"", ""Washer"", ""TV with standard cable"", ""Smoke alarm"", ""Wifi"", ""Free parking on premises"", ""Air conditioning"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""First aid kit"", ""Carbon monoxide alarm""]",200.0
1413,Sweet little shared room,Boise,Shared room in residential home,Shared room,"[""Coffee maker"", ""Hair dryer"", ""Free street parking"", ""Iron"", ""Kitchen"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""First aid kit"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Backyard"", ""Long term stays allowed"", ""Lockbox"", ""Heating"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Air conditioning"", ""Bed linens"", ""Fire extinguisher""]",24.0
1414,Craftsman Charmer in Great Location,Buckman,Entire residential home,Entire home/apt,"[""Children\u2019s books and toys"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""Bathtub"", ""Washer"", ""Oven"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Fire extinguisher"", ""Patio or balcony""]",101.0
1415,Modern apartment at a fantastic location,Kerns,Entire rental unit,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Bed linens"", ""Dishwasher"", ""Fire extinguisher""]",82.0
1416,Quarantine Retreat,Richmond,Entire guest suite,Entire home/apt,"[""Baby bath"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Backyard"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Private entrance"", ""High chair"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Bathtub"", ""Oven"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Fire extinguisher"", ""Patio or balcony""]",73.0
1417,"""Laurelhurst Ranch"" / Beach Room!",Kerns,Private room in residential home,Private room,"[""Children\u2019s books and toys"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Backyard"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""Bathtub"", ""Oven"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Patio or balcony""]",34.0
1418,Arabian Nights Love Nest,South Portland,Private room in bed and breakfast,Private room,"[""Coffee maker"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Keypad"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""Bathtub"", ""Air conditioning"", ""Room-darkening shades"", ""Bed linens"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Patio or balcony""]",56.0
1419,Quaint One Bedroom,Piedmont,Entire residential home,Entire home/apt,"[""Single level home"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Cooking basics"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Extra pillows and blankets"", ""Smart lock"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Air conditioning"", ""Bed linens"", ""Dishwasher"", ""BBQ grill"", ""Fire extinguisher""]",95.0
1420,StokeWood Lodge,Hayhurst,Entire guesthouse,Entire home/apt,"[""Portable fans"", ""Single level home"", ""Security cameras on property"", ""Coffee maker"", ""liquid body soap"", ""Clothing storage: wardrobe"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Fire pit"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""32\"" HDTV with Roku"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Host greets you"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Backyard"", ""Heating"", ""Cleaning products"", ""Ceiling fan"", ""Outdoor furniture"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Bathtub"", ""Oven"", ""Free parking on premises"", ""Toaster"", ""Room-darkening shades"", ""Freezer"", ""Bed linens"", ""Window AC unit"", ""Dining table"", ""Baking sheet"", ""Fire extinguisher"", ""Patio or balcony""]",119.0
1421,"Stay in our sweet neighborhood, walk everywhere!",Kerns,Entire residential home,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Smart lock"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Fireplace guards"", ""Babysitter recommendations"", ""Private entrance"", ""Shared fenced garden or backyard"", ""Essentials"", ""Smoke alarm"", ""Bathtub"", ""Oven"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Baby safety gates"", ""BBQ grill"", ""Fire extinguisher"", ""Shared patio or balcony""]",94.0
1422,Large room with king bed and private bath,South Portland,Private room in residential home,Private room,"[""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""TV"", ""Kitchen"", ""Keypad"", ""First aid kit"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Breakfast"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Lock on bedroom door"", ""Fire extinguisher""]",59.0
1423,Chicken Little Cottage: rustic cabin in the city!,Cully,Tiny house,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Wifi"", ""Hot water"", ""Lockbox"", ""Heating"", ""Outdoor furniture"", ""Private entrance"", ""Shared fenced garden or backyard"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Patio or balcony""]",55.0
